Дата,CO2,Влажность,Температура,Давление,Освещённость,Уровень шума
2025-01-01 00:00:00,501,61,12.8,1012,0,36
2025-01-01 01:00:00,551,57,18.6,1007,0,44
2025-01-01 02:00:00,578,54,21.1,1008,72,47
2025-01-01 03:00:00,614,51,21.8,1006,1,49
2025-01-01 04:00:00,685,52,26.6,1012,38,56
2025-01-01 05:00:00,702,43,26.5,1007,57,53
2025-01-01 06:00:00,730,42,25.7,1009,17,63
2025-01-01 07:00:00,709,,26.3,1008,87,59
2025-01-01 08:00:00,704,46,27.5,1009,204,53
2025-01-01 09:00:00,668,52,23.5,1013,403,55
2025-01-01 10:00:00,655,58,23.0,1011,548,46
2025-01-01 11:00:00,627,57,19.9,1014,546,40
2025-01-01 12:00:00,566,64,16.1,1013,646,34
2025-01-01 13:00:00,516,70,14.7,1014,657,34
2025-01-01 14:00:00,491,70,13.5,1009,739,39
2025-01-01 15:00:00,452,70,10.5,1013,616,34
2025-01-01 16:00:00,465,72,8.5,1010,591,
2025-01-01 17:00:00,460,77,8.7,,516,
2025-01-01 18:00:00,468,78,9.4,1011,345,41
2025-01-01 19:00:00,454,78,8.3,1011,227,37
2025-01-01 20:00:00,454,73,10.9,1010,60,40
2025-01-01 21:00:00,459,78,10.4,1011,3,35
2025-01-01 22:00:00,505,68,14.6,1011,52,44
2025-01-01 23:00:00,541,70,,1010,81,39
2025-01-02 00:00:00,599,65,18.5,1010,0,37
2025-01-02 01:00:00,620,60,24.5,1016,44,48
2025-01-02 02:00:00,697,61,26.6,1016,0,46
2025-01-02 03:00:00,713,55,28.5,1012,12,54
2025-01-02 04:00:00,736,52,28.9,1013,66,60
2025-01-02 05:00:00,748,55,31.5,1013,89,53
2025-01-02 06:00:00,717,49,31.7,1013,19,54
2025-01-02 07:00:00,762,49,32.5,1013,0,54
2025-01-02 08:00:00,697,51,30.1,1015,197,56
2025-01-02 09:00:00,676,56,29.1,1015,365,51
2025-01-02 10:00:00,708,61,28.8,1012,504,48
2025-01-02 11:00:00,673,65,24.7,1012,589,40
2025-01-02 12:00:00,624,72,21.2,1011,720,38
2025-01-02 13:00:00,580,69,19.3,1015,653,35
2025-01-02 14:00:00,588,73,17.2,1015,720,35
2025-01-02 15:00:00,557,80,13.6,1013,744,36
2025-01-02 16:00:00,518,83,10.7,1015,611,36
2025-01-02 17:00:00,502,83,12.7,1012,488,45
2025-01-02 18:00:00,480,79,11.5,1012,330,43
2025-01-02 19:00:00,487,79,9.3,1017,161,41
2025-01-02 20:00:00,485,77,13.0,1018,65,36
2025-01-02 21:00:00,539,79,12.6,1018,59,44
2025-01-02 22:00:00,579,70,17.2,1018,83,37
2025-01-02 23:00:00,599,70,17.0,1016,5,40
2025-01-03 00:00:00,585,66,22.7,1015,0,43
2025-01-03 01:00:00,660,65,23.6,1017,31,44
2025-01-03 02:00:00,702,59,27.5,1017,0,54
2025-01-03 03:00:00,712,60,,1014,0,52
2025-01-03 04:00:00,747,56,32.6,1011,36,60
2025-01-03 05:00:00,726,50,33.4,1011,26,59
2025-01-03 06:00:00,,53,30.7,1013,63,61
2025-01-03 07:00:00,758,52,32.2,1017,8,54
2025-01-03 08:00:00,746,57,30.3,1013,234,51
